CookerStat, GenerateAssetRegistry=0.044320, Initialize=0.271052, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_0, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=88.750237, FlushAsyncLoading=0.033591, FlushStreamingFunc=0.173084, BlockTillAllRequestsFinished=0.027992, ResetLoadersForSaveUnMarkAllObjects=1.096349, TagPackageExports=142.033310, BeginCacheForCookedPlatformData=0.010263, SerializeImports=58.140141, GatherLocalizableTextData=26.117392, MarkNames=0.166085, SerializeSummary=0.022393, SerializeNames=0.556108, SerializeGatherableTextData=0.146024, BuildExportMap=0.389554, SortExportsNonSeekfree=4.240777, SortExportsSeekfreeConstructor=0.083510, SortExportsSeekfreeInner=55.304562, SortExportsSeekfree=0.011194, BuildDependencyMap=0.241663, SerializeImportMap=0.034057, SerializeExportMap=0.120834, SerializeDependencyMap=0.028923, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.814209, SerializeExports=52.351879, SerializeBulkData=0.041056, MoveFile=8.326661, UnaccountedTime=5.271345, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_1, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.447896, FlushAsyncLoading=0.006996, FlushStreamingFunc=0.071380, BlockTillAllRequestsFinished=0.011664, ResetLoadersForSaveUnMarkAllObjects=0.248659, TagPackageExports=43.506435, BeginCacheForCookedPlatformData=0.005599, SerializeImports=44.126923, GatherLocalizableTextData=20.685091, MarkNames=0.159089, SerializeSummary=0.019126, SerializeNames=0.490792, SerializeGatherableTextData=0.148356, BuildExportMap=0.375092, SortExportsNonSeekfree=4.338749, SortExportsSeekfreeConstructor=0.069514, SortExportsSeekfreeInner=54.661678, SortExportsSeekfree=0.013530, BuildDependencyMap=2.409168, SerializeImportMap=0.030324, SerializeExportMap=0.119898, SerializeDependencyMap=0.038724, SerializeStringAssetReferenceMap=0.003729, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.358435, SerializeExports=53.765472, SerializeBulkData=0.012130, MoveFile=6.192278, UnaccountedTime=2.686758, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_2, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=1.764424, FlushAsyncLoading=0.005595, FlushStreamingFunc=0.069983, BlockTillAllRequestsFinished=0.005595, ResetLoadersForSaveUnMarkAllObjects=0.178218, TagPackageExports=41.952415, BeginCacheForCookedPlatformData=0.005599, SerializeImports=41.668766, GatherLocalizableTextData=20.230692, MarkNames=0.146955, SerializeSummary=0.016797, SerializeNames=0.526246, SerializeGatherableTextData=0.133429, BuildExportMap=0.348032, SortExportsNonSeekfree=4.325219, SortExportsSeekfreeConstructor=0.012599, SortExportsSeekfreeInner=52.365406, SortExportsSeekfree=0.007465, BuildDependencyMap=1.131806, SerializeImportMap=0.027992, SerializeExportMap=0.112433, SerializeDependencyMap=0.048053, SerializeStringAssetReferenceMap=0.006530, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.372427, SerializeExports=46.483376, SerializeBulkData=0.013065, MoveFile=6.539844, UnaccountedTime=5.272746, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_3, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.190366, FlushAsyncLoading=0.013061, FlushStreamingFunc=0.124566, BlockTillAllRequestsFinished=0.006996, ResetLoadersForSaveUnMarkAllObjects=0.283185, TagPackageExports=45.331509, BeginCacheForCookedPlatformData=0.006996, SerializeImports=48.015469, GatherLocalizableTextData=22.697714, MarkNames=0.174016, SerializeSummary=0.019126, SerializeNames=0.623289, SerializeGatherableTextData=0.200141, BuildExportMap=0.834160, SortExportsNonSeekfree=5.751405, SortExportsSeekfreeConstructor=0.088640, SortExportsSeekfreeInner=67.547760, SortExportsSeekfree=0.007465, BuildDependencyMap=1.055293, SerializeImportMap=0.032190, SerializeExportMap=0.110567, SerializeDependencyMap=0.026591, SerializeStringAssetReferenceMap=0.005599, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.113012, SerializeExports=55.205658, SerializeBulkData=0.011664, MoveFile=5.352989, UnaccountedTime=2.236087, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_4, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=8.932688, FlushAsyncLoading=0.016794, FlushStreamingFunc=0.076048, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=0.267789, TagPackageExports=42.289253, BeginCacheForCookedPlatformData=0.005599, SerializeImports=45.324512, GatherLocalizableTextData=24.796169, MarkNames=1.328684, SerializeSummary=0.028923, SerializeNames=0.932600, SerializeGatherableTextData=0.232797, BuildExportMap=0.616755, SortExportsNonSeekfree=5.412240, SortExportsSeekfreeConstructor=0.131093, SortExportsSeekfreeInner=67.315895, SortExportsSeekfree=0.013530, BuildDependencyMap=0.428744, SerializeImportMap=0.031259, SerializeExportMap=0.103101, SerializeDependencyMap=0.046652, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.786465, SerializeExports=61.160004, SerializeBulkData=0.012130, MoveFile=8.602850, UnaccountedTime=3.394488, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_5, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=1.903918, FlushAsyncLoading=0.004664, FlushStreamingFunc=0.202943, BlockTillAllRequestsFinished=0.008862, ResetLoadersForSaveUnMarkAllObjects=0.257060, TagPackageExports=43.589481, BeginCacheForCookedPlatformData=0.005595, SerializeImports=44.428303, GatherLocalizableTextData=21.185680, MarkNames=0.157222, SerializeSummary=0.016328, SerializeNames=0.534181, SerializeGatherableTextData=0.150222, BuildExportMap=0.380222, SortExportsNonSeekfree=4.287895, SortExportsSeekfreeConstructor=0.065781, SortExportsSeekfreeInner=56.646309, SortExportsSeekfree=0.007931, BuildDependencyMap=1.133204, SerializeImportMap=0.040121, SerializeExportMap=0.175416, SerializeDependencyMap=0.046186, SerializeStringAssetReferenceMap=0.007000, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.260902, SerializeExports=57.619022, SerializeBulkData=0.013530, MoveFile=6.053254, UnaccountedTime=2.428297, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_6, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.282273, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.189878, BlockTillAllRequestsFinished=0.010729, ResetLoadersForSaveUnMarkAllObjects=0.362497, TagPackageExports=54.001541, BeginCacheForCookedPlatformData=0.005595, SerializeImports=45.342239, GatherLocalizableTextData=20.537201, MarkNames=1.407526, SerializeSummary=0.026125, SerializeNames=0.713795, SerializeGatherableTextData=0.198741, BuildExportMap=0.514120, SortExportsNonSeekfree=4.258502, SortExportsSeekfreeConstructor=0.084911, SortExportsSeekfreeInner=58.350082, SortExportsSeekfree=0.007462, BuildDependencyMap=0.178684, SerializeImportMap=0.028927, SerializeExportMap=0.110101, SerializeDependencyMap=0.062514, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=9.955324, SerializeExports=54.489063, SerializeBulkData=0.020526, MoveFile=5.589519, UnaccountedTime=2.224423, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_7, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.362054, FlushAsyncLoading=0.006996, FlushStreamingFunc=0.226270, BlockTillAllRequestsFinished=0.011660, ResetLoadersForSaveUnMarkAllObjects=0.227202, TagPackageExports=47.570862, BeginCacheForCookedPlatformData=0.007931, SerializeImports=51.851761, GatherLocalizableTextData=21.549109, MarkNames=0.181947, SerializeSummary=0.747852, SerializeNames=0.899471, SerializeGatherableTextData=0.296716, BuildExportMap=0.472128, SortExportsNonSeekfree=4.356012, SortExportsSeekfreeConstructor=0.072312, SortExportsSeekfreeInner=66.726662, SortExportsSeekfree=0.007931, BuildDependencyMap=0.228599, SerializeImportMap=0.034526, SerializeExportMap=0.150688, SerializeDependencyMap=0.024259, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=12.183018, SerializeExports=66.238205, SerializeBulkData=0.012595, MoveFile=6.569237, UnaccountedTime=6.177816, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_8, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=2.668094, FlushAsyncLoading=0.007931, FlushStreamingFunc=0.101704, BlockTillAllRequestsFinished=0.010263, ResetLoadersForSaveUnMarkAllObjects=0.211809, TagPackageExports=46.615871, BeginCacheForCookedPlatformData=0.007462, SerializeImports=47.491085, GatherLocalizableTextData=21.443207, MarkNames=0.338238, SerializeSummary=0.120364, SerializeNames=1.067892, SerializeGatherableTextData=0.154424, BuildExportMap=0.436671, SortExportsNonSeekfree=4.304223, SortExportsSeekfreeConstructor=0.852823, SortExportsSeekfreeInner=58.324890, SortExportsSeekfree=0.009332, BuildDependencyMap=0.258923, SerializeImportMap=0.056919, SerializeExportMap=0.183813, SerializeDependencyMap=0.049453, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.185102, SerializeExports=53.709953, SerializeBulkData=0.018194, MoveFile=61.320026, UnaccountedTime=8.321527, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_9, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=8.809056, FlushAsyncLoading=0.027992, FlushStreamingFunc=0.090040, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=0.199206, TagPackageExports=44.031281, BeginCacheForCookedPlatformData=0.005599, SerializeImports=47.998669, GatherLocalizableTextData=20.491951, MarkNames=0.147890, SerializeSummary=0.015862, SerializeNames=0.532780, SerializeGatherableTextData=0.162818, BuildExportMap=0.386756, SortExportsNonSeekfree=5.463090, SortExportsSeekfreeConstructor=0.916734, SortExportsSeekfreeInner=65.749283, SortExportsSeekfree=0.007462, BuildDependencyMap=0.254728, SerializeImportMap=0.029393, SerializeExportMap=0.111502, SerializeDependencyMap=0.040587, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=32.767803, SerializeExports=52.812347, SerializeBulkData=0.010729, MoveFile=6.611690, UnaccountedTime=4.871994, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
SavePackageTransactionIdC556E8DC40D0860EF9799C9695A42FD4_10, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.006332, FlushAsyncLoading=0.008401, FlushStreamingFunc=0.152089, BlockTillAllRequestsFinished=0.009798, ResetLoadersForSaveUnMarkAllObjects=0.215068, TagPackageExports=53.933891, BeginCacheForCookedPlatformData=0.005130, SerializeImports=55.673588, GatherLocalizableTextData=36.486530, MarkNames=1.367405, SerializeSummary=0.034992, SerializeNames=0.799634, SerializeGatherableTextData=0.230934, BuildExportMap=0.652213, SortExportsNonSeekfree=4.861727, SortExportsSeekfreeConstructor=0.081643, SortExportsSeekfreeInner=61.770695, SortExportsSeekfree=0.006530, BuildDependencyMap=0.184279, SerializeImportMap=0.030324, SerializeExportMap=0.129696, SerializeDependencyMap=0.035454, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.134474, SerializeExports=60.337505, SerializeBulkData=0.011198, MoveFile=4.638728, UnaccountedTime=2.828114, RunGuid=RunIDFEA89CD94105A14AE01B9098346A05C2
