CookerStat, GenerateAssetRegistry=0.027061, Initialize=0.140894, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_0, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=109.895744, FlushAsyncLoading=0.027057, FlushStreamingFunc=0.117566, BlockTillAllRequestsFinished=0.017729, ResetLoadersForSaveUnMarkAllObjects=1.290895, TagPackageExports=59.350765, BeginCacheForCookedPlatformData=0.007931, SerializeImports=65.424538, GatherLocalizableTextData=22.935633, MarkNames=0.172615, SerializeSummary=0.021927, SerializeNames=0.572901, SerializeGatherableTextData=0.204343, BuildExportMap=0.463732, SortExportsNonSeekfree=5.654830, SortExportsSeekfreeConstructor=0.084441, SortExportsSeekfreeInner=72.812538, SortExportsSeekfree=0.007465, BuildDependencyMap=0.244461, SerializeImportMap=0.035457, SerializeExportMap=0.152554, SerializeDependencyMap=0.059247, SerializeStringAssetReferenceMap=0.002336, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.486230, SerializeExports=71.291176, SerializeBulkData=0.031259, MoveFile=5.030610, UnaccountedTime=4.360207, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_1, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=3.529780, FlushAsyncLoading=0.007465, FlushStreamingFunc=0.184279, BlockTillAllRequestsFinished=0.008866, ResetLoadersForSaveUnMarkAllObjects=0.206672, TagPackageExports=59.227131, BeginCacheForCookedPlatformData=0.005133, SerializeImports=62.356628, GatherLocalizableTextData=25.169388, MarkNames=0.174481, SerializeSummary=0.022393, SerializeNames=0.571035, SerializeGatherableTextData=0.203408, BuildExportMap=0.449736, SortExportsNonSeekfree=5.613312, SortExportsSeekfreeConstructor=0.068113, SortExportsSeekfreeInner=85.619766, SortExportsSeekfree=0.007465, BuildDependencyMap=0.285048, SerializeImportMap=0.035923, SerializeExportMap=0.153024, SerializeDependencyMap=0.032190, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.544328, SerializeExports=84.350800, SerializeBulkData=0.012130, MoveFile=5.875498, UnaccountedTime=2.284139, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_2, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.816473, FlushAsyncLoading=0.006065, FlushStreamingFunc=0.063449, BlockTillAllRequestsFinished=0.004198, ResetLoadersForSaveUnMarkAllObjects=0.215072, TagPackageExports=63.059227, BeginCacheForCookedPlatformData=0.005599, SerializeImports=60.962631, GatherLocalizableTextData=24.186403, MarkNames=0.187080, SerializeSummary=0.016328, SerializeNames=0.551440, SerializeGatherableTextData=0.204340, BuildExportMap=0.427343, SortExportsNonSeekfree=5.617045, SortExportsSeekfreeConstructor=0.069045, SortExportsSeekfreeInner=72.072151, SortExportsSeekfree=0.007465, BuildDependencyMap=0.277121, SerializeImportMap=0.033122, SerializeExportMap=0.139028, SerializeDependencyMap=0.031725, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=11.183698, SerializeExports=69.598602, SerializeBulkData=0.009798, MoveFile=5.479883, UnaccountedTime=2.202962, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_3, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=9.854548, FlushAsyncLoading=0.019595, FlushStreamingFunc=0.062983, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=0.202939, TagPackageExports=61.812183, BeginCacheForCookedPlatformData=0.006065, SerializeImports=67.472145, GatherLocalizableTextData=25.197380, MarkNames=0.210874, SerializeSummary=0.023324, SerializeNames=0.661075, SerializeGatherableTextData=0.226736, BuildExportMap=0.494525, SortExportsNonSeekfree=6.140955, SortExportsSeekfreeConstructor=0.096105, SortExportsSeekfreeInner=74.553169, SortExportsSeekfree=0.007931, BuildDependencyMap=0.267789, SerializeImportMap=0.033125, SerializeExportMap=0.139493, SerializeDependencyMap=0.026591, SerializeStringAssetReferenceMap=0.002332, SaveThumbNailsAssetRegistryDataWorldLevelInfo=10.760088, SerializeExports=71.971848, SerializeBulkData=0.020992, MoveFile=5.009618, UnaccountedTime=2.255213, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_4, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.743226, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.154890, BlockTillAllRequestsFinished=0.008862, ResetLoadersForSaveUnMarkAllObjects=0.209007, TagPackageExports=75.657913, BeginCacheForCookedPlatformData=0.006065, SerializeImports=78.599861, GatherLocalizableTextData=30.556894, MarkNames=0.314444, SerializeSummary=0.021458, SerializeNames=0.634950, SerializeGatherableTextData=0.257526, BuildExportMap=0.570569, SortExportsNonSeekfree=7.839598, SortExportsSeekfreeConstructor=0.077911, SortExportsSeekfreeInner=91.877823, SortExportsSeekfree=0.007931, BuildDependencyMap=0.306509, SerializeImportMap=0.041988, SerializeExportMap=0.181947, SerializeDependencyMap=0.033122, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.219177, SerializeExports=90.285080, SerializeBulkData=0.015862, MoveFile=5.541000, UnaccountedTime=2.544928, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_5, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.517428, FlushAsyncLoading=0.006065, FlushStreamingFunc=0.084441, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=0.203408, TagPackageExports=79.850166, BeginCacheForCookedPlatformData=0.006534, SerializeImports=82.591507, GatherLocalizableTextData=31.057484, MarkNames=0.237461, SerializeSummary=0.020996, SerializeNames=0.692334, SerializeGatherableTextData=0.297181, BuildExportMap=0.624683, SortExportsNonSeekfree=7.844731, SortExportsSeekfreeConstructor=0.078846, SortExportsSeekfreeInner=94.277199, SortExportsSeekfree=0.008397, BuildDependencyMap=0.321906, SerializeImportMap=0.059716, SerializeExportMap=0.234667, SerializeDependencyMap=0.057381, SerializeStringAssetReferenceMap=0.003733, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.063822, SerializeExports=94.566444, SerializeBulkData=0.013061, MoveFile=5.544264, UnaccountedTime=2.645701, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_6, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.532822, FlushAsyncLoading=0.008862, FlushStreamingFunc=0.148360, BlockTillAllRequestsFinished=0.008397, ResetLoadersForSaveUnMarkAllObjects=0.209004, TagPackageExports=80.049843, BeginCacheForCookedPlatformData=0.006534, SerializeImports=82.744995, GatherLocalizableTextData=31.259022, MarkNames=0.243530, SerializeSummary=0.026125, SerializeNames=0.711929, SerializeGatherableTextData=0.262655, BuildExportMap=0.642415, SortExportsNonSeekfree=7.766820, SortExportsSeekfreeConstructor=0.082575, SortExportsSeekfreeInner=96.614052, SortExportsSeekfree=0.007931, BuildDependencyMap=0.307910, SerializeImportMap=0.041056, SerializeExportMap=0.185214, SerializeDependencyMap=0.035457, SerializeStringAssetReferenceMap=0.002801, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.431914, SerializeExports=96.524010, SerializeBulkData=0.012595, MoveFile=5.274139, UnaccountedTime=3.020793, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_7, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.274830, FlushAsyncLoading=0.005133, FlushStreamingFunc=0.083510, BlockTillAllRequestsFinished=0.007465, ResetLoadersForSaveUnMarkAllObjects=0.251461, TagPackageExports=104.425194, BeginCacheForCookedPlatformData=0.006530, SerializeImports=92.931252, GatherLocalizableTextData=30.452858, MarkNames=0.214603, SerializeSummary=0.018664, SerializeNames=0.680201, SerializeGatherableTextData=0.240266, BuildExportMap=0.625152, SortExportsNonSeekfree=7.711768, SortExportsSeekfreeConstructor=0.077445, SortExportsSeekfreeInner=95.762634, SortExportsSeekfree=0.007465, BuildDependencyMap=1.090284, SerializeImportMap=0.056449, SerializeExportMap=0.196412, SerializeDependencyMap=0.037324, SerializeStringAssetReferenceMap=0.002798, SaveThumbNailsAssetRegistryDataWorldLevelInfo=68.803627, SerializeExports=119.414391, SerializeBulkData=0.014927, MoveFile=6.945722, UnaccountedTime=2.335459, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_8, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=14.034208, FlushAsyncLoading=0.020061, FlushStreamingFunc=0.075109, BlockTillAllRequestsFinished=0.011198, ResetLoadersForSaveUnMarkAllObjects=0.297647, TagPackageExports=81.010437, BeginCacheForCookedPlatformData=0.006065, SerializeImports=85.802643, GatherLocalizableTextData=29.797382, MarkNames=0.223003, SerializeSummary=0.024259, SerializeNames=0.685800, SerializeGatherableTextData=0.251926, BuildExportMap=0.612557, SortExportsNonSeekfree=7.679578, SortExportsSeekfreeConstructor=0.078380, SortExportsSeekfreeInner=95.492043, SortExportsSeekfree=0.006530, BuildDependencyMap=1.176126, SerializeImportMap=0.039190, SerializeExportMap=0.184745, SerializeDependencyMap=0.036854, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.668914, SerializeExports=94.343910, SerializeBulkData=0.011664, MoveFile=5.791526, UnaccountedTime=2.218358, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_9, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=4.770287, FlushAsyncLoading=0.005599, FlushStreamingFunc=0.144623, BlockTillAllRequestsFinished=0.008862, ResetLoadersForSaveUnMarkAllObjects=0.216473, TagPackageExports=82.647026, BeginCacheForCookedPlatformData=0.006996, SerializeImports=84.728226, GatherLocalizableTextData=29.765188, MarkNames=0.234198, SerializeSummary=0.020530, SerializeNames=0.668537, SerializeGatherableTextData=0.264060, BuildExportMap=0.608824, SortExportsNonSeekfree=8.033674, SortExportsSeekfreeConstructor=0.083044, SortExportsSeekfreeInner=97.688477, SortExportsSeekfree=0.007931, BuildDependencyMap=1.274563, SerializeImportMap=0.040591, SerializeExportMap=0.185214, SerializeDependencyMap=0.035457, SerializeStringAssetReferenceMap=0.003267, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.723496, SerializeExports=96.201172, SerializeBulkData=0.014462, MoveFile=5.899757, UnaccountedTime=2.021019, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
SavePackageTransactionId88CC7ECF4163857F9201F984D79AD452_10, Filename=../../../../../../Users/Kevin/Documents/GitHub/Videojuegos_3/Videojuegos3/Content/FirstPersonBP/Blueprints/FirstPersonCharacter.uasset, AutoPackageBackupDelegate=5.025480, FlushAsyncLoading=0.006996, FlushStreamingFunc=0.072315, BlockTillAllRequestsFinished=0.006996, ResetLoadersForSaveUnMarkAllObjects=0.205275, TagPackageExports=83.348228, BeginCacheForCookedPlatformData=0.008397, SerializeImports=86.144142, GatherLocalizableTextData=29.617302, MarkNames=0.236530, SerializeSummary=0.023328, SerializeNames=0.685334, SerializeGatherableTextData=0.240263, BuildExportMap=0.609294, SortExportsNonSeekfree=7.678177, SortExportsSeekfreeConstructor=0.082109, SortExportsSeekfreeInner=98.331825, SortExportsSeekfree=0.007931, BuildDependencyMap=1.148134, SerializeImportMap=0.039186, SerializeExportMap=0.189878, SerializeDependencyMap=0.053182, SerializeStringAssetReferenceMap=0.005599, SaveThumbNailsAssetRegistryDataWorldLevelInfo=13.579804, SerializeExports=98.770363, SerializeBulkData=0.012133, MoveFile=5.125783, UnaccountedTime=2.973206, RunGuid=RunID7F8BE0744D685837EC614498C073AF63
